"Reference","Value","Footprint","Qty","DNP","MFG P/N"
"R86,R130","0R","AKE_Resistor_SMD:RES_0603","2","","*"
"D3,D41","3.3V","AKE_Diode_SMD:SOD-123","2","","BZT52-C3V6J"
"R33,R34,R35,R36,R37,R38,R41,R42,R43,R44,R45,R46","10R","AKE_Resistor_SMD:RES_0603","12","","*"
"D2,D29,D30,D31","26V","AKE_Diode_SMD:SMC","4","","*"
"R18,R19,R47,R48,R62,R63,R72,R73,R83,R84,R87,R89,R131,R132","47R","AKE_Resistor_SMD:RES_0603","14","","*"
"R29,R31","60R","AKE_Resistor_SMD:RES_0603","2","","*"
"R7,R10,R28,R119","100R","AKE_Resistor_SMD:RES_0603","4","","*"
"R17,R81,R82,R120,R121,R122,R123,R124,R125,R126,R127,R128","330R","AKE_Resistor_SMD:RES_0603","12","","*"
"R16","500R","AKE_Resistor_SMD:RES_0603","1","","*"
"R1,R4,R5,R50,R51,R52,R53,R54,R55,R69,R70,R71,R75,R76,R77,R118","1K","AKE_Resistor_SMD:RES_0603","16","","*"
"R15,R56,R57,R58,R59,R60,R61","1.5K","AKE_Resistor_SMD:RES_0603","7","","*"
"R14","2.4K","AKE_Resistor_SMD:RES_0603","1","","*"
"R13","3.3K","AKE_Resistor_SMD:RES_0603","1","","*"
"R88,R90,R91,R92","4.7K","AKE_Resistor_SMD:RES_0603","4","","*"
"R2,R12","10K","AKE_Resistor_SMD:RES_0603","2","","*"
"R3,R6","10K","AKE_Resistor_SMD:RES_1206","2","","*"
"R11","29.4K","AKE_Resistor_SMD:RES_0603","1","","*"
"R66,R67,R68,R78,R79,R80","47K","AKE_Resistor_SMD:RES_0603","6","","*"
"R9","68K","AKE_Resistor_SMD:RES_0603","1","","*"
"R8","330K","AKE_Resistor_SMD:RES_0603","1","","*"
"C58,C59","1000uF_35V","AKE_Capacitor_TH:C_Radial_D16.0mm_H31.5mm_P7.50mm","2","","108CKE063M"
"C1,C2,C3,C4,C5,C6,C7,C8,C11,C13,C15,C16,C18,C20,C22,C23,C24,C25,C30,C34,C42,C49,C50,C51,C75,C76,C77,C81,C82,C83,C86,C87,C103,C104","100nF_50V","AKE_Capacitor_SMD:CAP_0603","34","","*"
"C52,C54,C56","100nF_50V","AKE_Capacitor_SMD:CAP_1206","3","","*"
"C36,C37,C40,C41,C66,C67,C68,C69,C70,C71","100pF_50V","AKE_Capacitor_SMD:CAP_0603","10","","*"
"C26","10nF_50V","AKE_Capacitor_SMD:CAP_0603","1","","*"
"C12,C17","10uF_10V","AKE_Capacitor_SMD:CAP_1206_TANTAL","2","","TAJA106K010RNJ"
"C90","10uF_10V","AKE_Capacitor_SMD:CAP_1206","1","","TAJA106K010RNJ"
"C43,C44,C45","10uF_50V","AKE_Capacitor_SMD:CAP_1206_TANTAL","3","","*"
"C9,C10","18pF_50V","AKE_Capacitor_SMD:CAP_0603","2","","*"
"D17,D18,D21,D22,D25,D26","1N4148","AKE_Diode_SMD:SOD-323","6","","1N4148WS_R1_00001"
"C29,C84,C85,C88,C89","1nF_50V","AKE_Capacitor_SMD:CAP_0603","5","","*"
"C72,C73,C74,C78,C79,C80","1uF_10V","AKE_Capacitor_SMD:CAP_0603","6","","*"
"C27,C28,C46,C47,C48","1uF_50V","AKE_Capacitor_SMD:CAP_1206","5","","*"
"C33","1uF_50V","AKE_Capacitor_SMD:CAP_0603","1","","*"
"C60,C61,C62,C63,C64,C65","2.2uF_10V","AKE_Capacitor_SMD:CAP_0603","6","","CL10A225KP8NNNC"
"C19","220uF_50V","AKE_Capacitor_TH:CP_Radial_D10.0mm_P5.00mm","1","","PKRM-050V221MG160-T/A5.0"
"C14,C21,C35","22pF_50V","AKE_Capacitor_SMD:CAP_0603","3","","*"
"C53,C55,C57","22uF_35V","AKE_Capacitor_SMD:CAP_2917_7343_TANTAL_7.3x4.3mm","3","","T55D226M035C0120"
"C91","3.3nF_50V","AKE_Capacitor_SMD:CAP_0603","1","","*"
"C32","330uF_25V","AKE_Capacitor_TH:CP_Radial_D10.0mm_P5.00mm","1","","PKRM-025V331MF115-T/A5.0"
"C31","47pF_50V","AKE_Capacitor_SMD:CAP_0603","1","","*"
"L1,L2","6.8uH_5.6A","AKE_Inductor_SMD:SRI1004-6R8M","2","","SRI1004-6R8M "
"TH1","8V_0.5A","AKE_Resistor_SMD:RES_1206","1","","0ZCJ0050FF2G"
"D9","B0520LW-7-F","AKE_Diode_SMD:SOD-123","1","","B0520LW-7-F"
"D4","B340A-E3/61T","AKE_Diode_SMD:SMA","1","","B340A-E3/61T"
"D5,D6,D7,D8,D32,D33,D42,D43,D44,D45,D46,D47,D48,D49","Blue","AKE_Led_SMD:LED_0805","14","","*"
"J1,J4","Conn_01x02_Male","AKE_Connector_Socket_TH:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","2","",""
"J5","Conn_01x03_Male","AKE_Connector_Socket_TH:PhoenixContact_MC_1,5_3-G-3.81_1x03_P3.81mm_Horizontal","1","",""
"J6","Conn_01x05_Male","AKE_Connector_Socket_TH:PhoenixContact_MC_1,5_5-G-3.81_1x05_P3.81mm_Horizontal","1","",""
"J2","Conn_02x05_Odd_Even","AKE_Connector_IDC_Socket:IDC-Header_2x05_P2.54mm_Vertical","1","",""
"J10","Conn_02x20_Odd_Even","AKE_Pinheader_TH:PinHeader_2x20_P2.54mm_Vertical","1","",""
"Y1","CRYSTAL_8mHz","AKE_Oscilator_SMD:CRY_SMD_4P_5.0x3.2mm","1","","OZDISAN"
"D34","DESD5V0U1BA-7","AKE_Diode_SMD:SOD-323","1","","*"
"R85","DNI/0R","AKE_Resistor_SMD:RES_0603","1","","*"
"R129","DNI/0R","AKE_Resistor_SMD:RES_0603","1","DNP","*"
"R39,R40","DNI/499K","AKE_Resistor_SMD:RES_1206","2","","*"
"R30","DNI/RX1","AKE_Resistor_SMD:RES_0603","1","","*"
"R32","DNI/RX2","AKE_Resistor_SMD:RES_0603","1","","*"
"D14,D15,D16","ES1D-M3/61T","AKE_Diode_SMD:SMA","3","","ES1D-M3/61T"
"FID1,FID2,FID3,FID4","Fiducial_Point","AKE_PCB:Fiducial_1mm_Mask2mm","4","",""
"F1","Glass_Fuse","AKE_Device_TH:FuseHolder_5X20_TK79_Plastic","1","","202.707001.06-299"
"U9,U10,U11","IR2101STRPBF","AKE_IC_SMD:SOIC-8_3.9x4.9mm_P1.27mm","3","","IR2101STRPBF"
"U2","LDF33DT-TR","AKE_Regulator_SMD:DPAK_123","1","","LDF33DT-TR"
"U3,U12,U13,U14","LMV358IDRG4","AKE_Opamp_SMD:SOIC-8_3.9x4.9mm_P1.27mm","4","","LMV358IDRG4"
"U15","LSF0204DPWR","AKE_IC_SMD:TSSOP-14_4.4x5mm_P0.65mm","1","","LSF0204DPWR"
"U20","M24C64-WMN6TP","AKE_IC_SMD:SOIC-8_3.9x4.9mm_P1.27mm","1","","M24C64-WMN6TP"
"U5","MC78M15CDTRKG","AKE_Regulator_SMD:DPAK_123","1","","L7815CD2T-TR"
"Q9","MMUN2235LT1G","AKE_Transistor_SMD:SOT-23","1","","MMUN2235LT1G"
"H1,H2,H3,H4","MountingHole_Pad","AKE_Device_TH:MountingHole_3.2mm_M3_DIN965_Pad","4","",""
"Q1,Q2,Q3,Q4,Q5,Q6","NTMFS4119NT1G","AKE_Mosfet_SMD:LFPAK56","6","","NTMFS4119NT1G"
"SYM3","PBFree","AKE_Logo:PBFREE_SMALL","1","",""
"STM32_Motor_Kit_v1.1","PCB_NAME","AKE_Logo:PCB_NAME","1","",""
"D13","PESD2CANFD27V-TR","AKE_Diode_SMD:SOT-23","1","","PESD2CANFD27V-TR"
"SW2","Push_Button_SMD_4P","AKE_Button_SMD_TH:SW_PTS645SK50SMTR92","1","","PTS645SK50SMTR92 LFS"
"D1","RED","AKE_Led_SMD:LED_0805","1","","*"
"SYM2","Rohs","AKE_Logo:ROHS_LOGO","1","",""
"R49,R64,R65,R74","Rshont","AKE_Resistor_SMD:RES_2512","4","","*"
"D19,D20,D23,D24,D27,D28","S3M-TP","AKE_Diode_SMD:SMC","6","","S3M-TP"
"U19","SN74HC595DRG3","AKE_IC_SMD:SOIC-16_3.9x9.9mm_P1.27mm","1","","SN74HC595DRG3"
"U1","STM32G441VBT6","AKE_MCU_SMD:LQFP-100_14x14mm_P0.5mm","1","","STM32G441VBT6"
"SW1","SW_DIP_x01","Button_Switch_THT:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile","1","","NDS-01V"
"TP1,TP2,TP3,TP4,TP5","Test_Point","AKE_Device_SMD:TEST_POINT","5","",""
"U8","TJA1441BT_0Z","AKE_IC_SMD:SOIC-8_3.9x4.9mm_P1.27mm","1","","TJA1441BT/0Z"
"U4","TPS54331DR","AKE_Regulator_SMD:SOIC-8_3.9x4.9mm_P1.27mm_EP","1","","TPS54331DR"
"SYM1","WEE","AKE_Logo:WEEE-Logo_8.4x12mm_SilkScreen","1","",""
"RV1","WH148-1A-2-20V-B1K ","AKE_Resistor_TH:Potentiometer_Side_TH_5mmPitch","1","","WH148-1A-2-20V-B1K "
