Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF_50V","CAP_0603",3.250000,33.750000,90.000000,top
"C2","18pF_50V","CAP_0603",19.500000,37.750000,180.000000,top
"C3","18pF_50V","CAP_0603",22.900000,37.750000,0.000000,top
"C4","2.2uF_10V","CAP_0603",14.250000,43.750000,-90.000000,top
"C5","100nF_50V","CAP_0603",28.250000,40.750000,0.000000,top
"C6","100nF_50V","CAP_0603",17.250000,40.750000,0.000000,top
"C7","100nF_50V","CAP_0603",33.250000,53.000000,180.000000,top
"C8","100nF_50V","CAP_0603",33.250000,51.500000,180.000000,top
"C9","100nF_50V","CAP_0603",17.250000,56.750000,180.000000,top
"C10","100nF_50V","CAP_0603",33.250000,54.500000,180.000000,top
"C12","100nF_50V","CAP_0603",28.950000,81.799999,90.000000,top
"C13","100nF_50V","CAP_0603",76.200000,63.800000,180.000000,top
"C14","22pF_50V","CAP_0603",27.450000,81.799999,90.000000,top
"C15","100nF_50V","CAP_0603",64.700000,63.500000,-90.000000,top
"C16","10uF_10V","CAP_1206_TANTAL",17.700000,84.700000,-90.000000,top
"C17","100nF_50V","CAP_0603",68.450000,69.800000,180.000000,top
"C18","100nF_50V","CAP_0603",15.200000,85.700000,-90.000000,top
"C20","22pF_50V","CAP_0603",13.700000,85.700000,-90.000000,top
"C21","100nF_50V","CAP_0603",74.250000,81.250000,-90.000000,top
"C22","100nF_50V","CAP_0603",33.250000,49.500000,0.000000,top
"C23","100nF_50V","CAP_0603",39.250000,69.500000,90.000000,top
"C24","100nF_50V","CAP_0603",68.750000,79.000000,0.000000,top
"C25","10nF_50V","CAP_0603",75.000000,86.750000,0.000000,top
"C26","1uF_50V","CAP_0603",37.750000,69.500000,90.000000,top
"C27","1uF_50V","CAP_0603",48.750000,69.500000,90.000000,top
"C28","1nF_50V","CAP_0603",61.750000,83.250000,-90.000000,top
"C29","100nF_50V","CAP_0603",50.250000,69.500000,90.000000,top
"C30","47pF_50V","CAP_0603",63.250000,83.250000,-90.000000,top
"C32","1uF_50V","CAP_0603",34.200000,87.100000,-90.000000,top
"C33","100nF_50V","CAP_0603",32.700000,87.100000,-90.000000,top
"C34","22pF_50V","CAP_0603",31.200000,87.100000,-90.000000,top
"C35","100pF_50V","CAP_0603",-2.250000,47.750000,180.000000,top
"C36","100pF_50V","CAP_0603",-2.250000,52.250000,180.000000,top
"C37","100pF_50V","CAP_0603",13.500000,25.500000,-90.000000,top
"C38","100nF_50V","CAP_0603",20.250000,26.500000,0.000000,top
"C39","47pF_50V","CAP_0603",22.500000,15.500000,-90.000000,top
"C40","470pF_50V","CAP_0603",20.250000,14.750000,180.000000,top
"C41","47pF_50V","CAP_0603",18.000000,15.500000,90.000000,top
"C42","100nF_50V","CAP_0603",20.250000,11.250000,90.000000,top
"C46","1uF_50V","CAP_0603",63.200000,57.400000,-90.000000,top
"C47","1uF_50V","CAP_0603",63.200000,47.400000,-90.000000,top
"C48","1uF_50V","CAP_0603",63.200000,37.400000,-90.000000,top
"C49","100nF_50V","CAP_0603",64.700000,57.400000,-90.000000,top
"C50","100nF_50V","CAP_0603",64.700000,47.400000,-90.000000,top
"C51","100nF_50V","CAP_0603",64.700000,37.400000,-90.000000,top
"C52","100nF_50V","CAP_1206",75.700000,56.600000,-90.000000,top
"C54","100nF_50V","CAP_1206",75.550000,46.600000,-90.000000,top
"C56","100nF_50V","CAP_1206",75.550000,36.600000,-90.000000,top
"C60","2.2uF_10V","CAP_0603",84.200000,29.650000,90.000000,top
"C61","2.2uF_10V","CAP_0603",84.200000,23.650000,90.000000,top
"C62","2.2uF_10V","CAP_0603",84.200000,17.650000,90.000000,top
"C63","2.2uF_10V","CAP_0603",82.700000,29.650000,90.000000,top
"C64","2.2uF_10V","CAP_0603",82.700000,23.650000,90.000000,top
"C65","2.2uF_10V","CAP_0603",82.700000,17.650000,90.000000,top
"C66","100pF_50V","CAP_0603",80.450000,28.400000,0.000000,top
"C67","100pF_50V","CAP_0603",80.450000,30.900000,0.000000,top
"C68","100pF_50V","CAP_0603",80.450000,22.400000,0.000000,top
"C69","100pF_50V","CAP_0603",80.450000,24.900000,0.000000,top
"C70","100pF_50V","CAP_0603",80.450000,16.400000,0.000000,top
"C71","100pF_50V","CAP_0603",80.450000,18.900000,0.000000,top
"C72","100pF_50V","CAP_0603",64.000000,24.750000,180.000000,top
"C73","100pF_50V","CAP_0603",64.000000,18.750000,180.000000,top
"C74","1nF_2KV","CAP_1206",-2.000000,-3.500000,0.000000,top
"C75","100nF_50V","CAP_0603",64.000000,28.000000,180.000000,top
"C76","100nF_50V","CAP_0603",64.000000,21.750000,180.000000,top
"C77","100nF_50V","CAP_0603",64.000000,15.750000,180.000000,top
"C78","1.2nF_50V","CAP_0603",59.500000,32.000000,180.000000,top
